Malm Kelp	Crayfish	Chub	Merlthor Goby	Lominsan Anchovy
Scorpionfish	Rockclimber	Blood Skipper	Cobrafish	Moogle Spirit
Oil Eel	Jeweled Jellyfish	Battle Galley	Yalm Lobster	Hinterlands Perch
Oven Catfish	Pteranodon	Winged Gurnard	Spring Urchin	Cherry Trout
Stupendemys	Black Magefish	Barreleye	Thunderbolt Eel	Catkiller
Loosetongue	Thaliak Caiman	Lavalord	Tupuxuara	Vampiric Tapestry
Storm Chaser	Berserker Betta	Capelin	Functional Proto-hropken	Coerthan Clione
Dravanian Smelt	Heavens Coral	Sunsail	Goblin Bass	Pterodactyl
Eurhinosaur	Gem Marimo	Crown Trout	Retribution Staff	Thief Betta
Goldsmith Crab	Amber Salamander	Gnomefish	Fleece Stingray	Nyctosaur
Lava Snail	Priestfish	Coerthan Oyster	Oliphant's Trunk	Mountain Kraken
Armored Catfish	Magic Bucket	Fat Purse	The Impaler	La Reale
Scaleripper	The Dreamweaver	Meteortoise	The Ewer King	Vidofnir
The Soul of the Martyr	Inkfish	The Second One	Augmented High Allagan Helmet	Aphotic Pirarucu
Dimorphodon	Basking Shark	Allagan Bladeshark	Hailfinder	Flarefish
Twin-tongued Carp	Madam Butterfly	Moggle Mogpom	Cirrostratus	Hraesvelgr's Tear
Aetherochemical Compound 666	Hundred-eyed Axolotl	Bobgoblin Bass	Merciless	Bishopfish
Captain Nemo	Paikiller	Ceti	Crystal Pigeon	Thunderscale
Riddle	The Lord of Lords	The Speaker	Thousand Fin	Bloodchaser
Problematicus	Opabinia	Armor Fish	Sea Butterfly	Charibenet
Raimdellopterus	Thavnairian Leaf	Ghost Faerie	Red Sky Coral	Lover's Clam
River Shrimp	Peteinosaur	Comet Minnow (Stormblood Fish)	Golden Cichlid (Stormblood Fish)	Abalathian Bitterling (Stormblood Fish)
